厂商,产品,公开单价,20人月费用,20人年费用,可按20人购买,企业治理/采购成熟度,说明
阿里云,Token Plan 团队版-标准坐席,198 元/坐席/月,3960,47520,是,高,含 25000 Credits/坐席/月
阿里云,Token Plan 团队版-高级坐席,698 元/坐席/月,13960,167520,是,高,含 100000 Credits/坐席/月
阿里云,Token Plan 团队版-尊享坐席,1398 元/坐席/月,27960,335520,是,高,含 250000 Credits/坐席/月
阿里云,Qoder CN Teams,99 元/坐席/月,1980,23760,是,高,含 3000 Credits/坐席/月
阿里云,Qoder CN VPC,199 元/坐席/月,3980,47760,否,高,50 席起售
百度,Comate 企业专业版（月付）,150 元/人/月,3000,36000,是,高,每人每月赠 72 元智能体请求券
百度,Comate 企业专业版（年付）,1500 元/人/年,2500,30000,是,高,折月约 2500 元
百度,Comate 企业专属版,2500 元/人/年,4166.67,50000,否,高,100 个起购
腾讯,CodeBuddy SaaS 企业版,198 元/人/月,3960,47520,是,高,含 2000 Credits/人/月
腾讯,CodeBuddy 专有云企业版,316 元/人/月,6320,75840,是,高,含 2000 Credits/人/月
智谱,GLM Coding Lite,49 元/人/月,980,11760,是,中低,更偏个人订阅
智谱,GLM Coding Pro,149 元/人/月,2980,35760,是,中低,更适合深度个人开发
智谱,GLM Coding Max,469 元/人/月,9380,112560,是,中低,高强度使用
火山引擎,方舟 Coding Plan Lite（标准价）,40 元/人/月,800,9600,是,中低,更偏个人订阅
火山引擎,方舟 Coding Plan Pro（标准价）,200 元/人/月,4000,48000,是,中低,更适合高强度个人开发
火山引擎,方舟 Coding Plan Lite（首购优惠）,9.9 元/人/月,198,不建议用于年预算,是,中低,仅试点参考
火山引擎,方舟 Coding Plan Pro（首购优惠）,49.9 元/人/月,998,不建议用于年预算,是,中低,仅试点参考
